(*´∀｀*)ﾉ| 大吉 |...うまい話が転がり込んできます。仕事は早目に片付けて出かけましょう。
(´・ｪﾉ| 凶 |...邁進せずに内を固める必要があるようです..。自己過信すると道を間違えるもふ..。
(*´∀｀*)ﾉ| 大吉 |...任されたら責任持って進むのがいいです。不慣れな事柄なら携わらぬようにね。
(´・ω・`)ﾉ| 中吉 |...一気に攻めると挫折しやすいです。計画をきちんと立てて前進しましょう。
(´・ω・`)ﾉ| 中吉 |...不満な所は素直に言うべきです。環境改善がツキの流れを良くするもふ..。
(´・ｪﾉ| 大凶 |...人間関係に歪みを出さないのがいいです。感情に触るような言葉はさけましょう。
(´・ω・`)ﾉ| 中吉 |...理屈通そうとすると無理があるようです..。その場に合わせた判断すればよいでしょう。
(´・ｪﾉ| 凶 |...我欲にとらわれると失敗するもふ..。周りのために働くことを考えてくださいね。
(´・ｪﾉ| 凶 |...口先だけの約束をすると大失点。信用がなければ仕事も来ない。
(*´∀｀*)ﾉ| 大吉 |...上司を頼りにすれば喜ばれるもふ..。大いに利用して事を進めるべきです。
(´・ｪﾉ| 凶 |...甘い誘いにフラフラしないのがいいです。自ら危険なワナにはまりやすいです。
(*´∀｀*)ﾉ| 大吉 |...情報の聞き漏らしないか確認しましょう。普段より順調に運び一段落します。
(´・ω・`)ﾉ| 中吉 |...慌てて出るとミスが多発するもふ..。心を落ち着けて熟考するように。
(´・ω・`)ﾉ| 中吉 |...都合がつかぬなら無理して受けるべきではないもふ。流れが変化しやすい一日です。
(´・ｪﾉ| 大凶 |...最初順調に見えても支障生ません。力量不足が目立つので注意しましょう。
(´・ω・`)ﾉ| 中吉 |...経験の豊富さが買われ昇進するもふ..。高ぶらずに謙虚に協力するのがいいです。
(´・ｪﾉ| 凶 |...今の苦労は後で役に立ちます。労を惜しまずに専心本道に進むようにね。
(´・ｪﾉ| 凶 |...冗談のつもりが本気にとられて立場があぶないです。言動には注意しましょう。
(*´∀｀*)ﾉ| 大吉 |...やっと実を結ぶ可能性が出る日のようです。休まずに精一杯の力振絞るのがいいです。
(´・ｪﾉ| 凶 |...不明瞭な事柄は追求しておかないとあぶないです。人の言う事をすぐ信用しないように...。
(*´∀｀*)ﾉ| 大吉 |...親しい友人と話し合えば最高～。。新しい分野を冒険してみるようにね。
(´・ω・`)ﾉ| 中吉 |...勢いに乗り事を進めると脱線します。何事も徹底して調査しちゃったほうがいい日のようです。
(´・ω・`)ﾉ| 中吉 |...勘を働かせて判断するのがいいです。身体の疲れを感じたら休養しましょう。
(´・ｪﾉ| 大凶 |...観察力が甘くなると不調となるもふ..。情に流され動く事のないよう。
(´・ω・`)ﾉ| 中吉 |...希望は八分通り叶う日のようです。責任感のある態度に周囲の評価上がるもふ..。
(´・ｪﾉ| 凶 |...公事を大切にし私事は後に回しましょう。損得感情をムキ出しにしないのがいいです。
(*´∀｀*)ﾉ| 大吉 |...名誉を得ても得意にならぬこと力量を周囲の為に使えば運開くでしょう。
(´・ｪﾉ| 凶 |...対立・対抗意識をむき出しにしないように...。思う事あっても和が大切です。
(*´∀｀*)ﾉ| 大吉 |...大局的見地からの発言が感謝されるもふ..。小さな問題はきにしないように...。
(´・ω・`)ﾉ| 中吉 |...自分のペースを乱してまで流れに乗ろうとしないように...。得る物ないですぅ。
(´・ｪﾉ| 凶 |...知らぬ分野に介入するのはあぶないです。飛んだとばっちり受けやすいです。
(´・ｪﾉ| 大凶 |...進退わきまえて行動すれば安泰。意地張ると大きな悔いが残るもふ..。
(´・ω・`)ﾉ| 中吉 |...神経質になるとチャンス逃す。順調に行かずともヤケになるべきではないもふ。
(´・ｪﾉ| 凶 |...気分任せでその場の対処は禁物。前後見極めて正しく判断しましょう。
